Episode,Reward,Length,ValueLoss,PolicyLoss,Steps,EvalReward,Collisions,TargetReached
1,-13.02,249,0.2249,0.5015,249,,1,False
2,5.91,38,0.6459,0.5960,38,,1,False
3,9.68,41,0.9525,0.5211,41,,1,False
4,4.70,39,1.0710,0.4543,39,,1,False
5,9.77,40,1.2772,0.3929,40,,1,False
6,13.05,49,1.0771,0.2469,49,,1,False
7,63.51,83,1.2187,-0.0087,83,,1,False
8,18.59,60,1.1688,-0.2941,60,,1,False
9,1.76,51,1.0827,-0.4344,51,,1,False
10,20.20,77,1.0136,-0.6539,77,23.53476299184826,1,False
11,28.79,55,0.7983,-1.0021,55,,1,False
12,22.30,57,0.7134,-1.2076,57,,1,False
13,5.44,132,0.6362,-1.4278,132,,1,False
14,11.41,42,0.5253,-1.8012,42,,1,False
15,13.30,46,0.4072,-1.8741,46,,1,False
16,9.62,49,0.4395,-2.0048,49,,1,False
17,13.94,52,0.4463,-2.1862,52,,1,False
18,9.10,41,0.4111,-2.2734,41,,1,False
19,2.13,65,0.3505,-2.5196,65,,1,False
20,8.85,48,0.3650,-2.5568,48,9.86320633674406,1,False
